Code,Name,Label,Inner,MYE2021,Births,Deaths,Births minus Deaths,Internal Migration Inflow,Internal Migration Outflow,Internal Migration Net,International Migration Inflow,International Migration Outflow,International Migration Net,Other,MYE2022
E09000001,City of London,CL,1,8689,72,37,35,1528,1413,115,3175,1168,2007,1,10847
E09000002,Barking and Dagenham,B&D,0,218714,3318,1230,2088,16174,20206,-4032,6860,3629,3231,-9,219992
E09000003,Barnet,BrN,0,388955,4733,2551,2182,28197,32732,-4535,9445,6964,2481,18,389101
E09000004,Bexley,BxL,0,246637,2889,2125,764,16027,17458,-1431,3385,1514,1871,-6,247835
E09000005,Brent,Bnt,0,339248,4494,1989,2505,29687,36257,-6570,13615,7581,6034,4,341221
E09000006,Bromley,BmL,0,329899,3621,2567,1054,20899,23809,-2910,3568,2037,1531,4,329578
E09000007,Camden,CmD,1,210968,2194,1178,1016,28799,31209,-2410,14126,5645,8481,-6,218049
E09000008,Croydon,CyD,0,390691,4830,2556,2274,27512,33206,-5694,9198,4224,4974,-21,392224
E09000009,Ealing,EL,0,366762,4271,2244,2027,29422,34878,-5456,12749,6130,6619,-15,369937
E09000010,Enfield,EF,0,329876,3975,2101,1874,19579,25026,-5447,5506,4588,918,3,327224
E09000011,Greenwich,GW,0,289537,3904,1604,2300,25516,30072,-4556,8525,4718,3807,-8,291080
E09000012,Hackney,HN,1,260082,3668,1229,2439,27118,29733,-2615,6622,5038,1584,1,261491
E09000013,Hammersmith and Fulham,H&F,1,183310,2061,994,1067,24415,24916,-501,6600,5290,1310,52,185238
E09000014,Haringey,HG,1,264317,3255,1389,1866,26324,30389,-4065,6128,6424,-296,-11,261811
E09000015,Harrow,HR,0,261159,3329,1727,1602,18291,23134,-4843,8399,5116,3283,-16,261185
E09000016,Havering,HV,0,262086,3082,2416,666,16502,16175,327,3343,1708,1635,-11,264703
E09000017,Hillingdon,HD,0,305107,4078,2184,1894,23507,27678,-4171,11706,3820,7886,-35,310681
E09000018,Hounslow,Hnw,0,288164,3570,1594,1976,18954,25667,-6713,11984,4703,7281,-220,290488
E09000019,Islington,IT,1,217050,2550,1100,1450,29013,32042,-3029,9928,5052,4876,26,220373
E09000020,Kensington and Chelsea,K&C,1,144266,1425,882,543,14540,15977,-1437,7578,4803,2775,7,146154
E09000021,Kingston upon Thames,KT,0,167992,1830,1128,702,13568,16073,-2505,4735,2607,2128,-15,168302
E09000022,Lambeth,LmB,1,317691,3505,1492,2013,38444,44139,-5695,8547,5767,2780,23,316812
E09000023,Lewisham,LwS,1,300013,3939,1565,2374,26167,32272,-6105,6782,4410,2372,-1,298653
E09000024,Merton,MT,0,215426,2741,1263,1478,18899,22460,-3561,4666,3308,1358,8,214709
E09000025,Newham,NH,1,351256,5620,1505,4115,29221,39637,-10416,21559,7853,13706,-16,358645
E09000026,Redbridge,RB,0,310130,4261,1934,2327,21749,28411,-6662,10548,5425,5123,-7,310911
E09000027,Richmond upon Thames,RT,0,195315,1977,1253,724,14877,17357,-2480,3690,2277,1413,-78,194894
E09000028,Southwark,SW,1,306762,3448,1409,2039,33902,39104,-5202,14480,6161,8319,-5,311913
E09000029,Sutton,ST,0,209617,2314,1540,774,12521,14546,-2025,3138,1440,1698,-11,210053
E09000030,Tower Hamlets,TH,1,312715,4381,1150,3231,37487,38108,-621,16962,6469,10493,-29,325789
E09000031,Waltham Forest,WF,0,278147,4148,1470,2678,21483,26573,-5090,5916,5759,157,-5,275887
E09000032,Wandsworth,WW,1,328429,3946,1521,2425,40444,43940,-3496,7865,6122,1743,-66,329035
E09000033,Westminster,WM,1,205759,2059,1080,979,23542,25535,-1993,13325,6723,6602,18,211365
